,암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
52,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,가톨릭대학교 여의도성모병원,11,종합병원,110000,서울,110013,영등포구,,7345,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",1661-7575,,19860820,259,0,23,80,153,0,0,0,3,0,0,0,0,0,126.9367517,37.5183253
59,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz,강동경희대학교의대병원,11,종합병원,110000,서울,110002,강동구,,5278,"서울특별시 강동구 동남로 892, (상일동)",02-440-7114,,20060227,296,1,23,79,192,0,0,0,1,0,0,0,0,0,127.1576732,37.5535361
79,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNjEjJDEjJDgjJDgz,경찰병원,11,종합병원,110000,서울,110018,송파구,,5715,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",02-3400-1114,,19710220,115,0,15,32,65,0,0,0,3,0,0,0,0,0,127.123509,37.4963836
112,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,노원을지대학교병원,11,종합병원,110000,서울,110022,노원구,,1830,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",02-970-8000,,19950114,229,1,39,59,127,1,0,0,2,0,0,0,0,0,127.0699355,37.6364794
137,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjEwMDIjNTEjJDEjJDYjJDgz,명지성모병원,11,종합병원,110000,서울,110013,영등포구,,7417,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",02-1899-1475,,19840807,30,0,0,0,30,0,0,0,0,0,0,0,0,0,126.8992626,37.4938623
144,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjE4MzIjNjEjJDEjJDAjJDgz,부민병원,11,종합병원,110000,서울,110003,강서구,,7590,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",1577-7582,,20110414,68,2,2,0,64,0,0,0,0,0,0,0,0,0,126.8509273,37.556866
156,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,삼육서울병원,11,종합병원,110000,서울,110007,동대문구,,2500,"서울특별시 동대문구 망우로 82, (휘경동)",02-2244-0191,,19660107,113,0,10,18,84,1,0,0,0,0,0,0,0,0,127.0635533,37.5862119
165,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjE0ODEjNzEjJDEjJDgjJDgz,서울성심병원,11,종합병원,110000,서울,110007,동대문구,,2488,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",02-966-1616,,19911230,46,0,0,12,33,1,0,0,0,0,0,0,0,0,127.0497296,37.5843076
166,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,서울적십자병원,11,종합병원,110000,서울,110016,종로구,,3181,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",02-2002-8000,,19770401,45,1,5,5,32,1,0,0,1,0,0,0,0,0,126.9669974,37.5671805
170,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNjEjJDEjJDgjJDgz,서울특별시서울의료원,11,종합병원,110000,서울,110019,중랑구,,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,,20110309,226,0,21,57,144,0,0,0,3,1,0,0,0,0,127.0978309,37.6132762
175,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEyMjIjODEjJDEjJDYjJDgz,성심의료재단강동성심병원,11,종합병원,110000,서울,110002,강동구,,5355,"서울특별시 강동구 성안로 150, (길동)",02-2224-2114,,19861017,255,1,21,87,144,0,0,0,2,0,0,0,0,0,127.135378,37.5359971
176,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNzEjJDEjJDgjJDgz,성애의료재단 성애병원,11,종합병원,110000,서울,110013,영등포구,,7354,"서울특별시 영등포구 여의대방로53길 22, (신길동, 성애병원)",02-840-7114,,19820930,71,0,5,9,55,2,0,0,0,0,0,0,0,0,126.9225003,37.5120274
185,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,씨엠병원,11,종합병원,110000,서울,110013,영등포구,,7301,"서울특별시 영등포구 영등포로36길 13, (영등포동4가, 충무병원)",02-2678-0001,,19840302,25,0,0,0,25,0,0,0,0,0,0,0,0,0,126.9041862,37.5188597
200,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,우리들병원,11,종합병원,110000,서울,110003,강서구,,7505,"서울특별시 강서구 하늘길 70, (과해동)",02-2660-7500,,20120430,23,1,0,0,22,0,0,0,0,0,0,0,0,0,126.7963265,37.5620454
249,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,의료법인 청구성심병원,11,종합병원,110000,서울,110015,은평구,,3330,"서울특별시 은평구 통일로 873, (갈현동)",02-350-3300,,19800128,25,1,0,0,24,0,0,0,0,0,0,0,0,0,126.9197006,37.6208615
261,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,의료법인동신의료재단 동신병원,11,종합병원,110000,서울,110010,서대문구,,3653,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",02-396-9161,,19940622,19,1,0,0,18,0,0,0,0,0,0,0,0,0,126.9364251,37.5813323
294,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz,의료법인한전의료재단 한일병원,11,종합병원,110000,서울,110006,도봉구,쌍문동,1450,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",02-901-3114,,19740328,118,0,7,25,83,0,0,0,3,0,0,0,0,0,127.0291228,37.6461401
301,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEyMjIjODEjJDEjJDYjJDgz,이화여자대학교의과대학부속서울병원,11,종합병원,110000,서울,110003,강서구,,7804,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",1522-7000,,20181226,222,0,0,4,212,0,0,3,3,0,0,0,0,0,126.8362668,37.5572629
304,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjODEjJDEjJDIjJDgz,인제대학교 상계백병원,11,종합병원,110000,서울,110022,노원구,,1757,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",02-950-1114,,19890814,266,2,26,83,148,0,0,4,3,0,0,0,0,0,127.0631233,37.6485282
305,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,인제대학교 서울백병원,11,종합병원,110000,서울,110017,중구,,4551,"서울특별시 중구 마른내로 9, (저동2가)",02-2270-0114,,19760310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9888709,37.56511
332,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQzNjE0ODEjNTEjJDEjJDIjJDgz,차의과학대학교 강남차병원,11,종합병원,110000,서울,110001,강남구,,6135,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",02-3468-3000,,19901022,115,0,0,12,100,0,0,0,3,0,0,0,0,0,127.0345427,37.5067005
358,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,한국원자력의학원원자력병원,11,종합병원,110000,서울,110022,노원구,,1812,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",02-970-2114,,19851129,167,2,39,11,113,0,0,0,2,0,0,0,0,0,127.0824199,37.6288668
359,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjNTEjJDEjJDYjJDgz,한림대학교 강남성심병원,11,종합병원,110000,서울,110013,영등포구,,7441,"서울특별시 영등포구 신길로 1, (대림동, 강남성심병원)",02-829-5114,,19800111,263,0,23,81,154,0,0,0,5,0,0,0,0,0,126.9086527,37.4937262
360,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNzEjJDEjJDgjJDgz,한림대학교 한강성심병원,11,종합병원,110000,서울,110013,영등포구,,7247,"서울특별시 영등포구 버드나루로7길 12, (영등포동7가, 한강성심병원)",02-2639-5114,,19820419,20,0,0,0,20,0,0,0,0,0,0,0,0,0,126.9096811,37.5231702
372,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEyMjIjNTEjJDEjJDYjJDgz,홍익병원,11,종합병원,110000,서울,110020,양천구,신정동,7937,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",02-2693-5555,,19930820,61,0,4,5,49,1,0,0,2,0,0,0,0,0,126.8636551,37.5284838
379,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,(의)가산의료재단 광동병원,21,병원,110000,서울,110001,강남구,,6170,"서울특별시 강남구 봉은사로 612, (삼성동)",2222-4888,,19940425,12,0,0,0,2,0,0,0,0,3,3,0,4,0,127.0621662,37.5142863
393,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,365엠씨(mc)병원,21,병원,110000,서울,110021,서초구,,6634,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",02-3474-3653,,20130117,13,1,0,0,12,0,0,0,0,0,0,0,0,0,127.0141365,37.4929843
416,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ4MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,강남수병원,21,병원,110000,서울,110018,송파구,,5594,"서울특별시 송파구 삼전로2길 11, (삼전동)",02-421-7100,,20070430,3,0,0,0,3,0,0,0,0,0,0,0,0,0,127.0861578,37.5013402
419,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQyIyQ3IyQwMCQ0NjEwMDIjNjEjJDEjJDgjJDgz,강남유나이티드병원,21,병원,110000,서울,110001,강남구,,6267,"서울특별시 강남구 남부순환로 2609, 하늘빌딩, 7~12층 (도곡동) (도곡동)",02-2138-0075,,20070612,5,0,0,0,5,0,0,0,0,0,0,0,0,0,127.0351301,37.4849802
420,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4OSQyNjEyMjIjODEjJDEjJDIjJDgz,강남을지대학교병원,21,병원,110000,서울,110001,강남구,,6047,"서울특별시 강남구 도산대로 202, 강남을지병원 B2~9층 (논현동)",02-3438-1022,,20090831,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.0286438,37.5194124
421,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjODEjJDEjJDIjJDgz,강남제이에스병원,21,병원,110000,서울,110001,강남구,,6259,"서울특별시 강남구 도곡로 122, 제이에스빌딩 (도곡동)",02-533-3600,,20131114,5,0,0,0,5,0,0,0,0,0,0,0,0,0,127.033745,37.4899185
424,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3MiQyNjEwMDIjNTEjJDEjJDIjJDgz,강남초이스정형외과병원,21,병원,110000,서울,110001,강남구,,6150,"서울특별시 강남구 테헤란로 337, (역삼동, 4~9층)",02-539-2250,,20150724,6,0,0,0,5,0,0,0,0,1,0,0,0,0,127.0484885,37.5047776
426,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQyIyQzIyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,강남힘찬병원,21,병원,110000,서울,110018,송파구,,5621,"서울특별시 송파구 백제고분로 407, (송파동, 지하 2층~7층)",1899-2225,,20091006,6,0,0,0,6,0,0,0,0,0,0,0,0,0,127.1099004,37.5075981
427,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz,강동미즈여성병원,21,병원,110000,서울,110002,강동구,,5335,"서울특별시 강동구 천호대로 1043, 강동미즈병원 (천호동)",02-470-9114,,20031205,15,0,0,0,15,0,0,0,0,0,0,0,0,0,127.128117,37.5376208
429,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQxMyQ0NjEwMDIjNzEjJDEjJDgjJDgz,강동연세병원,21,병원,110000,서울,110002,강동구,천호동,5323,"서울특별시 강동구 올림픽로 734, (천호동)",02-1899-0102,,20120316,5,0,0,0,5,0,0,0,0,0,0,0,0,0,127.1266323,37.5467696
432,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,강북21세기병원,21,병원,110000,서울,110019,중랑구,,2138,"서울특별시 중랑구 면목로 473, (상봉동)",1577-6336,,19840403,7,0,0,0,7,0,0,0,0,0,0,0,0,0,127.0856598,37.594048
433,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ3OSQyNjEwMDIjODEjJDEjJDYjJDgz,강북연세병원,21,병원,110000,서울,110022,노원구,,1849,"서울특별시 노원구 동일로 996, (공릉동)",02-2092-5505,,20160310,11,0,0,0,11,0,0,0,0,0,0,0,0,0,127.0754877,37.6191956
434,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjNjEjJDEjJDQjJDgz,강북우리들병원,21,병원,110000,서울,110024,강북구,,1070,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",02-6222-1000,,20121012,5,0,0,0,5,0,0,0,0,0,0,0,0,0,127.022638,37.6425442
437,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQyIyQzIyQwMCQzNjEyMjIjODEjJDEjJDYjJDgz,강서송도병원,21,병원,110000,서울,110003,강서구,등촌동,7591,"서울특별시 강서구 공항대로 315, (등촌동, 서울시니어강서타워)",02-2659-0600,,20030128,9,0,0,0,9,0,0,0,0,0,0,0,0,0,126.8427872,37.5585273
438,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQzNjEwMDIjODEjJDEjJDYjJDgz,강서힘찬병원,21,병원,110000,서울,110003,강서구,,7591,"서울특별시 강서구 강서로56길 38, (등촌동, 강서힘찬병원)",02-1899-2228,,20100903,8,0,0,0,8,0,0,0,0,0,0,0,0,0,126.8406822,37.5592035
447,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5OSQzNjEyMjIjNTEjJDEjJDIjJDgz,건양의료재단 김안과병원,21,병원,110000,서울,110013,영등포구,,7301,"서울특별시 영등포구 영신로 136, (영등포동4가)",1577-2639,,19920801,66,0,0,12,54,0,0,0,0,0,0,0,0,0,126.9014955,37.5197392
536,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDgjJDgz,금강아산병원(재단법인 아산사회복지재단),21,병원,110000,서울,110014,용산구,,4425,"서울특별시 용산구 이촌로 318, (이촌동)",02-799-5000,,19840403,11,0,0,0,11,0,0,0,0,0,0,0,0,0,126.9818432,37.5176285
571,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,날개병원,21,병원,110000,서울,110007,동대문구,,2578,"서울특별시 동대문구 무학로 193-1, (용두동)",02-959-9191,,20110329,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.0295094,37.5816364
580,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjEwMDIjNjEjJDEjJDgjJDgz,누네안과병원,21,병원,110000,서울,110001,강남구,,6192,"서울특별시 강남구 테헤란로 408, 대치빌딩 지상9층~지상17층 (대치동)",02-1661-1175,,20061220,27,0,0,3,24,0,0,0,0,0,0,0,0,0,127.0504171,37.5044651
585,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQwMyQ0NjE0ODEjNjEjJDEjJDQjJDgz,뉴스타트병원,21,병원,110000,서울,110018,송파구,,5707,"서울특별시 송파구 송이로 76, 뉴스타트병원 (가락동)",02-407-7700,,20080102,6,0,0,0,6,0,0,0,0,0,0,0,0,0,127.1194989,37.4991188
588,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ3OSQyNjEyMjIjNzEjJDEjJDgjJDgz,늘찬병원,21,병원,110000,서울,110019,중랑구,,2135,"서울특별시 중랑구 동일로 643, 화성빌딩 지하1, 2~8층 (면목동)",02-1644-0710,,20160705,9,0,0,0,9,0,0,0,0,0,0,0,0,0,127.0796571,37.587994
600,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQyIyQ3IyQwMCQyNjEwMDIjNjEjJDEjJDAjJDgz,달려라병원,21,병원,110000,서울,110002,강동구,,5356,"서울특별시 강동구 천호대로 1165, (길동)",02-1600-7511,,20130222,14,0,0,0,14,0,0,0,0,0,0,0,0,0,127.1409415,37.5340867
631,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQ0NjE0ODEjODEjJDEjJDIjJDgz,더본병원,21,병원,110000,서울,110008,동작구,,7014,"서울특별시 동작구 동작대로 67, (사당동)",02-587-2299,,20100111,4,0,0,0,4,0,0,0,0,0,0,0,0,0,126.9814925,37.4825532
634,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4OSQzNjEwMDIjODEjJDEjJDYjJDgz,더서울병원,21,병원,110000,서울,110012,성북구,,2829,"서울특별시 성북구 아리랑로 16, (동선동4가)",02-929-2114,,20170331,6,0,0,0,6,0,0,0,0,0,0,0,0,0,127.0165047,37.5942338
666,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQxMyQyNjE4MzIjODEjJDEjJDIjJDgz,디앤에프병원,21,병원,110000,서울,110019,중랑구,,2089,"서울특별시 중랑구 봉화산로 64, (중화동, 디엔에프병원)",02-434-2119,,20111122,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.0814897,37.601489
667,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,라온휴병원,21,병원,110000,서울,110020,양천구,,8064,"서울특별시 양천구 신월로 164, 8층 9층 (신월동, 승일뷰티타워)",02-2601-2611,,20120904,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.8420198,37.5177576
669,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQwMyQzNjE0ODEjNTEjJDEjJDIjJDgz,러스크서울병원,21,병원,110000,서울,110019,중랑구,,2177,"서울특별시 중랑구 망우로 470, (망우동)",02-3426-0100,,20200727,6,0,0,0,5,0,0,0,0,1,0,0,0,0,127.1043415,37.6001415
674,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,리더스병원,21,병원,110000,서울,110002,강동구,,5379,"서울특별시 강동구 천호대로 1044, (성내동)",02-333-3080,,20140912,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.1277443,37.5369609
677,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz,리드힐병원,21,병원,110000,서울,110015,은평구,,3409,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)",02-382-7700,,20170929,6,0,0,0,6,0,0,0,0,0,0,0,0,0,126.9164512,37.6000012
700,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjE0ODEjNDEjJDEjJDgjJDgz,메디아이여성병원,21,병원,110000,서울,110022,노원구,상계동,1696,"서울특별시 노원구 노원로 448, 메디아여성병원 (상계동)",02-936-2122,,20060621,10,0,0,0,10,0,0,0,0,0,0,0,0,0,127.067062,37.6564674
701,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,메디힐병원,21,병원,110000,서울,110020,양천구,,7905,"서울특별시 양천구 남부순환로 331, (신월동, 메디힐병원)",02-2604-7551,,20010402,13,1,0,0,12,0,0,0,0,0,0,0,0,0,126.8278769,37.5372174
729,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjODEjJDEjJDIjJDgz,미래드림여성병원,21,병원,110000,서울,110004,관악구,봉천동,8758,"서울특별시 관악구 남부순환로 1785, (봉천동)",02-886-5551,,19950520,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.9486559,37.4820463
